Nestle_PS,Novartis_N,Roche_Holding,UBS_N
276772.6,232208.9,194820.6,48971.94
290678.6,244298.8,192748.1,46561.85
298519.9,210681.6,187232.9,52944.85
301245.9,219679.4,185476.5,44995.91
300754.5,225441.8,192958.7,44764.86
313134.7,231355.8,188286.7,43954.63
328252.8,222029.8,190148.4,40211.34
320515.1,218314.6,202759.6,43452.95
311706.3,221499.1,206974.9,46212.14
309265.9,232670.1,216529.7,46771.73
316646.3,235323.8,222887.9,47119.03
323967.3,236890.8,228719.2,47292.7
294177.6,205349.2,217583.6,40905.97
289981.4,192080.4,208415.1,35001.62
306468.4,214978.4,240171,41639.19
309087.3,204840,233742.4,39748.25
312241.9,205678.8,232864.3,41774.26
318869.1,190235,230826.9,41947.91
313625.4,192850.1,220253.3,43047.73
316045.4,198598.3,224960.4,39072.92
297030.9,175432.7,206483,40770.9
294726.1,199979.9,212525.1,50785.11
301352.4,203483.1,215651.5,48334.64
288215,198672.4,215791.9,49685.3
273694.8,192899.4,209328.4,54412.66
